generation(kWh),power(W)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,6.12837
0.013,84.992615
0.043,188.9034
0.104,465.3577
0.231,990.1847
0.318,1203.4855
0.274,1196.0164
0.362,1198.8187
0.388,1773.1146
0.401,1234.9526
0.163,580.40247
0.544,2835.2153
0.738,2368.933
0.224,1021.92035
0.145,490.01825
0.209,696.04663
0.475,1821.4181
0.348,1989.5007
0.883,3370.0037
0.441,1176.7916
1.003,4232.063
2.56,11575.563
2.55,8658.501
3.016,13554.986
3.546,12136.589
1.84,6120.1074
1.35,5301.47
1.892,7672.055
2.333,9579.695
4.017,16242.469
2.862,8837.622
1.356,3975.907
0.528,1911.6542
0.466,1985.5757
0.65,3237.7446
0.776,2937.1008
0.242,828.6764
0.572,2508.6636
1.029,3576.1484
0.289,772.6892
0.327,1322.3579
0.35,1451.4774
0.289,945.3726
0.074,201.70233
0,25.983511
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.002,45.734924
0.066,293.56247
0.218,864.6396
0.33,1494.4884
0.411,1527.8
0.37,1392.1919
0.401,1712.0172
0.346,1345.5338
0.383,1592.1599
0.453,1632.6332
0.561,2342.0122
1.161,5278.274
2.268,8788.501
1.751,6203.465
2.349,10546.648
3.894,16292.882
4.266,15044.376
3.602,14800.298
4.482,16527.383
4.849,18756.686
4.363,19738.107
4.492,16522.408
4.948,15054.301
1.702,10637.117
4.486,17409.928
4.683,17221.172
1.271,4260.867
1.414,5630.2876
2.315,9260.114
3.336,13925.619
3.495,13279.654
2.97,10540.599
2.713,11055.345
1.943,6461.7197
1.634,6358.957
1.576,6074.9355
1.337,5001.317
1.04,3883.5227
0.883,3341.21
0.84,3295.1274
0.902,3577.034
0.911,3430.5408
0.946,3885.728
1.093,4329.5537
1.089,4146.4077
0.999,3803.7878
0.866,3242.7651
0.653,2401.7803
0.46,1661.4507
0.334,1214.8059
0.2,704.22485
0.065,173.93654
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
