Time,generation(kWh),power(W)
2021-06-01 00:00:00,0.0,0.0
2021-06-01 00:15:00,0.0,0.0
2021-06-01 00:30:00,0.0,0.0
2021-06-01 00:45:00,0.0,0.0
2021-06-01 01:00:00,0.0,0.0
2021-06-01 01:15:00,0.0,0.0
2021-06-01 01:30:00,0.0,0.0
2021-06-01 01:45:00,0.0,0.0
2021-06-01 02:00:00,0.0,0.0
2021-06-01 02:15:00,0.0,0.0
2021-06-01 02:30:00,0.0,0.0
2021-06-01 02:45:00,0.0,0.0
2021-06-01 03:00:00,0.0,0.0
2021-06-01 03:15:00,0.0,0.0
2021-06-01 03:30:00,0.0,0.0
2021-06-01 03:45:00,0.0,0.0
2021-06-01 04:00:00,0.0,0.0
2021-06-01 04:15:00,0.0,0.0
2021-06-01 04:30:00,0.0,0.0
2021-06-01 04:45:00,0.0,0.0
2021-06-01 05:00:00,0.0,0.0
2021-06-01 05:15:00,0.0,0.0
2021-06-01 05:30:00,0.0,0.0
2021-06-01 05:45:00,0.0,0.0
2021-06-01 06:00:00,0.0,9.707887
2021-06-01 06:15:00,0.035,165.67769
2021-06-01 06:30:00,0.062,248.02081
2021-06-01 06:45:00,0.147,675.9655
2021-06-01 07:00:00,0.295,1227.0161
2021-06-01 07:15:00,0.333,1242.9456
2021-06-01 07:30:00,0.36,1472.1956
2021-06-01 07:45:00,0.363,1372.9169
2021-06-01 08:00:00,0.487,1945.6073
2021-06-01 08:15:00,0.343,999.2915
2021-06-01 08:30:00,0.152,647.5331
2021-06-01 08:45:00,0.882,4004.3042
2021-06-01 09:00:00,0.553,1624.5076
2021-06-01 09:15:00,0.289,1087.1521
2021-06-01 09:30:00,0.133,485.38242
2021-06-01 09:45:00,0.28,1295.5916
2021-06-01 10:00:00,0.45,2506.5723
2021-06-01 10:15:00,0.273,3437.3113
2021-06-01 10:30:00,0.977,3621.634
2021-06-01 10:45:00,0.386,1512.6572
2021-06-01 11:00:00,1.516,6481.374
2021-06-01 11:15:00,3.165,13428.885
2021-06-01 11:30:00,2.357,8594.824
2021-06-01 11:45:00,3.909,15205.979
2021-06-01 12:00:00,3.217,11351.43
2021-06-01 12:15:00,1.67,5967.39
2021-06-01 12:30:00,1.454,5851.4585
2021-06-01 12:45:00,2.506,11294.126
2021-06-01 13:00:00,3.077,12680.32
2021-06-01 13:15:00,4.846,20935.766
2021-06-01 13:30:00,2.393,8427.68
2021-06-01 13:45:00,0.942,2888.053
2021-06-01 14:00:00,0.5630000000000001,1996.0253
2021-06-01 14:15:00,0.513,1836.0066
2021-06-01 14:30:00,0.808,3339.161
2021-06-01 14:45:00,0.736,2253.3738
2021-06-01 15:00:00,0.229,705.99963
2021-06-01 15:15:00,0.931,4443.071
2021-06-01 15:30:00,0.984,3277.9412
2021-06-01 15:45:00,0.146,372.6343
2021-06-01 16:00:00,0.343,1399.0415
2021-06-01 16:15:00,0.399,1725.8718
2021-06-01 16:30:00,0.247,762.89545
2021-06-01 16:45:00,0.053,156.03258
2021-06-01 17:00:00,0.001,9.081119
2021-06-01 17:15:00,0.0,0.0
2021-06-01 17:30:00,0.0,0.0
2021-06-01 17:45:00,0.0,0.0
2021-06-01 18:00:00,0.0,0.0
2021-06-01 18:15:00,0.0,0.0
2021-06-01 18:30:00,0.0,0.0
2021-06-01 18:45:00,0.0,0.0
2021-06-01 19:00:00,0.0,0.0
2021-06-01 19:15:00,0.0,0.0
2021-06-01 19:30:00,0.0,0.0
2021-06-01 19:45:00,0.0,0.0
2021-06-01 20:00:00,0.0,0.0
2021-06-01 20:15:00,0.0,0.0
2021-06-01 20:30:00,0.0,0.0
2021-06-01 20:45:00,0.0,0.0
2021-06-01 21:00:00,0.0,0.0
2021-06-01 21:15:00,0.0,0.0
2021-06-01 21:30:00,0.0,0.0
2021-06-01 21:45:00,0.0,0.0
2021-06-01 22:00:00,0.0,0.0
2021-06-01 22:15:00,0.0,0.0
2021-06-01 22:30:00,0.0,0.0
2021-06-01 22:45:00,0.0,0.0
2021-06-01 23:00:00,0.0,0.0
2021-06-01 23:15:00,0.0,0.0
2021-06-01 23:30:00,0.0,0.0
2021-06-01 23:45:00,0.0,0.0
2021-06-02 00:00:00,0.0,0.0
2021-06-02 00:15:00,0.0,0.0
2021-06-02 00:30:00,0.0,0.0
2021-06-02 00:45:00,0.0,0.0
2021-06-02 01:00:00,0.0,0.0
2021-06-02 01:15:00,0.0,0.0
2021-06-02 01:30:00,0.0,0.0
2021-06-02 01:45:00,0.0,0.0
2021-06-02 02:00:00,0.0,0.0
2021-06-02 02:15:00,0.0,0.0
2021-06-02 02:30:00,0.0,0.0
2021-06-02 02:45:00,0.0,0.0
2021-06-02 03:00:00,0.0,0.0
2021-06-02 03:15:00,0.0,0.0
2021-06-02 03:30:00,0.0,0.0
2021-06-02 03:45:00,0.0,0.0
2021-06-02 04:00:00,0.0,0.0
2021-06-02 04:15:00,0.0,0.0
2021-06-02 04:30:00,0.0,0.0
2021-06-02 04:45:00,0.0,0.0
2021-06-02 05:00:00,0.0,0.0
2021-06-02 05:15:00,0.0,0.0
2021-06-02 05:30:00,0.0,0.0
2021-06-02 05:45:00,0.016,118.977684
2021-06-02 06:00:00,0.106,519.6915
2021-06-02 06:15:00,0.257,1048.3676
2021-06-02 06:30:00,0.43,1826.2614
2021-06-02 06:45:00,0.401,1435.2343
2021-06-02 07:00:00,0.415,1706.3395
2021-06-02 07:15:00,0.425,1708.8315
2021-06-02 07:30:00,0.384,1472.2269
2021-06-02 07:45:00,0.436,1803.7635
2021-06-02 08:00:00,0.404,1290.151
2021-06-02 08:15:00,0.6950000000000001,3123.368
2021-06-02 08:30:00,1.568,7214.2075
2021-06-02 08:45:00,2.509,9170.919
2021-06-02 09:00:00,1.709,6764.469
2021-06-02 09:15:00,2.966,11852.07
2021-06-02 09:30:00,4.827,21088.018
2021-06-02 09:45:00,4.1930000000000005,15808.961
2021-06-02 10:00:00,4.149,16579.941
2021-06-02 10:15:00,5.127,22116.732
