generation(kWh),power(W)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.07,458
0.74,3876.6667
1.057,3796
0.738,2928.6667
0.856,3599.3333
1.614,7596.6665
3.744,13290
3.28,9617
3.247,10866.667
1.082,4151.3335
1.362,8548.333
2.397,5986.6665
1.751,8734
2.306,9961.333
1.512,5846.6665
2.901,10650.333
6.163,22815.334
5.824,16603.334
6.468,27167
1.629,5270.6665
2.914,10380
3.291,20502
7.419,25396.334
6.982,34987.332
4.017,10537.667
3.598,16115.333
3.873,24310
6.013,25000.666
5.036,12727.333
4.687,21979
5.253,29307.666
3.129,9460.667
2.494,11084.667
2.617,10150.333
2.044,7726.3335
2.741,8453
2.852,14148.667
3.346,8834
2.993,11671.333
3.218,10731.333
3.176,9468.667
1.618,5828.6665
2.228,8583.667
2.437,9376.333
1.995,7715
1.424,5115.6665
0.924,3458
0.646,2564.6667
0.483,1714.3334
0.298,1042.6666
0.121,346
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.001,56.333332
0.164,891
0.454,2165.6667
1.068,4134.3335
1.533,6811.6665
1.615,6841.3335
1.931,7912.6665
2.036,6300.3335
1.877,9060
2.273,8826.667
2.453,8980
2.464,12180.333
2.935,7848.6665
1.721,8572.333
2.399,7206.6665
1.594,7228
5.233,23585.666
7.819,34235
4.02,14258
5.275,24949.666
8.918,36560.668
8.664,38122.668
8.892,35368.668
6.941,30994
9.511,31818.334
9.413,39243.668
9.996,40570.332
8.497,30946
8.489,40190.668
6.564,24758.334
6.493,19268
7.119,30982.666
6.022,22591
7.958,33575.668
4.732,14137
6.693,33263
6.078,22711.666
5.003,16878.666
3.892,15863.667
3.559,11321.667
2.956,10767
3.277,12039.667
2.364,7656.6665
2.383,10187.667
2.573,10497.667
1.793,5632
1.409,5460.3335
1.346,5015
0.997,3678.6667
0.674,2412.6667
0.461,1680.6666
0.283,947.6667
0.049,124.333336
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
